,Unnamed: 0,frame_number,x_angle,y_angle,z_angle,product 0,product 1,product 2,product 3,product 4,product 5,product 6,seconds
0,0,682,-9.101837,-4.555634,-0.912392,48735.19429379745,52366.008020184105,70824.70206238015,69522.09129068867,86457.72392834013,98301.91871158144,97261.72218715466,22.733333333333334
1,1,683,-13.12645,-1.246826,-1.620468,53309.50184182025,59445.834075770224,79318.48351607341,76381.83832868878,95110.53031940004,105297.26355271699,105517.67736528847,22.766666666666666
2,2,684,-15.179825,2.93811,1.712021,60206.69060871493,67027.72448683619,86857.4761821532,84730.19432684746,103866.21283383736,113999.62756979818,114497.29163202574,22.8
3,3,685,-17.545975,4.570633,-1.424942,63865.20045505832,71795.0672520694,92260.73217708863,89131.79351841912,109126.31233057284,118299.79972883026,119482.66354468669,22.833333333333332
4,4,686,-15.356704999999998,-1.959663,3.927353,52883.766899123104,60596.842788424525,81676.54436091043,76289.65951498253,96261.95201041148,104791.91581580792,106001.98240660377,22.866666666666667
5,5,693,-27.130928000000004,5.373611,10.093445,72470.83112040463,84848.56831182756,108444.84803980107,98714.82857952002,122383.51888680289,126268.7759452669,130754.86506512422,23.1
6,6,694,-6.412575,3.136528,4.502365,60277.52796039942,61282.896769109386,76103.37803505463,82305.35959943094,96628.63687238238,112311.77490254986,109321.0157190636,23.133333333333333
7,7,695,1.557159,-2.0523830000000003,11.110855,56488.72458377547,51639.403325972664,61264.678987934734,73368.71403862089,82751.85053410946,102566.79155799217,96597.85530451869,23.166666666666668
8,8,696,10.212143,-2.16835,16.243759,65113.76014224497,54298.60575323324,54636.50632942127,77205.66862388617,79590.77610685282,105192.94682316703,95337.47513993144,23.2
9,9,697,-2.579201,0.544678,10.786102,57602.451838961795,55919.6302130916,68569.93934487681,77380.7866197862,89526.82504911498,107112.73710600972,102753.64181695976,23.233333333333334
10,10,698,14.62056,0.005081,20.852158,74335.34540378676,61414.837097766096,56621.97205845398,84990.16871399105,83808.91890481452,112374.56021046391,100557.48574580226,23.266666666666666
11,11,699,-1.209984,-1.80806,16.925468,54963.08405446252,52241.1640352037,64316.503580506374,73326.71924578017,84730.35933087309,102709.9406580941,97948.97002767194,23.3
12,12,700,-4.282379,-4.439415,7.121262,50038.626302168064,49808.797344466526,64988.479812760226,68874.0635433077,82688.64832027149,97893.11379401741,94731.03450141034,23.333333333333332
13,13,701,-11.774887,-3.939217,6.12262,49520.76205765335,55083.53317601491,74891.68694775259,71408.19052687427,89803.01081823316,100037.60678439152,100052.27825834356,23.366666666666667
14,14,702,-12.636032,-6.393944,6.0430449999999984,46706.31971320715,53227.018129899494,73984.85764980025,67968.1569955104,87194.82622204932,96036.62436679694,96749.03989502165,23.4
15,15,703,-12.738297,-8.520294,2.81691,44483.52077052373,51366.47198672401,72564.03152903388,64888.869257195634,84480.45112249,92495.42452479221,93562.0310827232,23.433333333333334
